,location,total_sqft,bath,price,bhk,price_per_sqft
0, Devarabeesana Halli,1672.0,3.0,150.0,3,8971.291866028709
1, Devarabeesana Halli,1750.0,3.0,149.0,3,8514.285714285714
2, Devarabeesana Halli,1750.0,3.0,150.0,3,8571.42857142857
3, Devarachikkanahalli,1250.0,2.0,44.0,3,3520.0
4, Devarachikkanahalli,1250.0,2.0,40.0,2,3200.0
5, Devarachikkanahalli,1200.0,2.0,83.0,2,6916.666666666667
6, Devarachikkanahalli,1170.0,2.0,40.0,2,3418.803418803419
7, Devarachikkanahalli,1425.0,2.0,65.0,3,4561.403508771929
8, Devarachikkanahalli,947.0,2.0,43.0,2,4540.654699049631
9, Devarachikkanahalli,1130.0,2.0,36.0,2,3185.8407079646017
10, Devarachikkanahalli,1417.0,2.0,76.0,3,5363.443895553987
11, Devarachikkanahalli,1230.0,2.0,58.0,2,4715.447154471544
12, Devarachikkanahalli,1705.0,3.0,75.0,3,4398.826979472141
13, Devarachikkanahalli,1116.0,2.0,47.0,2,4211.469534050179
14, Devarachikkanahalli,991.0,2.0,40.0,2,4036.326942482341
15, Devarachikkanahalli,1700.0,3.0,71.0,3,4176.470588235294
16, Electronic City,550.0,1.0,27.0,1,4909.090909090909
17, Mysore Highway,1450.0,2.0,70.0,3,4827.586206896552
18, Mysore Highway,700.0,1.0,25.5,1,3642.8571428571427
19, Rachenahalli,440.0,1.0,28.0,1,6363.636363636364
20, Thanisandra,510.0,1.0,25.25,1,4950.980392156863
21, Thanisandra,510.0,1.0,25.25,1,4950.980392156863
22, south,2400.0,2.0,480.0,3,20000.0
23,1st Block BEL Layout,1540.0,3.0,85.0,3,5519.480519480519
24,1st Block HBR Layout,600.0,1.0,45.0,1,7500.0
25,1st Block HBR Layout,3150.0,4.0,150.0,4,4761.9047619047615
26,1st Block HRBR Layout,1200.0,7.0,235.0,8,19583.333333333332
27,1st Block HRBR Layout,2400.0,7.0,355.0,7,14791.666666666666
28,1st Block HRBR Layout,600.0,3.0,90.0,3,15000.0
29,1st Block HRBR Layout,600.0,3.0,125.0,3,20833.333333333332
30,1st Block HRBR Layout,600.0,4.0,125.0,3,20833.333333333332
31,1st Block Jayanagar,2850.0,4.0,428.0,4,15017.543859649122
32,1st Block Jayanagar,1630.0,3.0,194.0,3,11901.840490797545
33,1st Block Jayanagar,1200.0,6.0,125.0,6,10416.666666666666
34,1st Block Jayanagar,1875.0,2.0,235.0,3,12533.333333333334
35,1st Block Jayanagar,930.0,4.0,85.0,7,9139.78494623656
36,1st Block Jayanagar,700.0,4.0,104.0,8,14857.142857142857
37,1st Block Jayanagar,1200.0,2.0,130.0,3,10833.333333333334
38,1st Block Jayanagar,1235.0,2.0,148.0,2,11983.805668016194
39,1st Block Jayanagar,2750.0,4.0,413.0,4,15018.181818181818
40,1st Block Jayanagar,2450.0,4.0,368.0,4,15020.408163265307
41,1st Block Koramangala,1415.0,2.0,110.0,2,7773.851590106007
42,1st Block Koramangala,860.0,2.0,65.5,2,7616.279069767442
43,1st Block Koramangala,3000.0,3.0,300.0,4,10000.0
44,1st Block Koramangala,2350.0,3.0,210.0,3,8936.170212765957
45,1st Block Koramangala,3000.0,5.0,500.0,4,16666.666666666668
46,1st Phase JP Nagar,2825.0,4.0,250.0,4,8849.557522123894
47,1st Phase JP Nagar,1875.0,3.0,167.0,3,8906.666666666666
48,1st Phase JP Nagar,1500.0,5.0,85.0,5,5666.666666666667
49,1st Phase JP Nagar,2065.0,4.0,210.0,3,10169.49152542373
50,1st Phase JP Nagar,2024.0,3.0,157.0,3,7756.916996047431
51,1st Phase JP Nagar,2059.0,3.0,225.0,3,10927.634774162214
52,1st Phase JP Nagar,1394.0,2.0,100.0,2,7173.601147776184
53,1st Phase JP Nagar,1077.0,2.0,93.0,2,8635.097493036212
54,1st Phase JP Nagar,1566.0,2.0,180.0,2,11494.252873563219
55,1st Phase JP Nagar,840.0,2.0,50.0,1,5952.380952380952
56,1st Phase JP Nagar,1590.0,3.0,131.0,3,8238.993710691824
57,1st Phase JP Nagar,2180.0,3.0,210.0,3,9633.02752293578
58,1st Phase JP Nagar,1180.0,2.0,88.5,2,7500.0
59,1st Phase JP Nagar,1200.0,2.0,86.0,2,7166.666666666667
60,1st Phase JP Nagar,1394.0,2.0,85.0,2,6097.5609756097565
61,1st Phase JP Nagar,2077.0,3.0,175.0,3,8425.613866153106
62,1st Phase JP Nagar,4550.0,2.0,240.0,4,5274.725274725275
63,1st Phase JP Nagar,1205.0,2.0,85.0,2,7053.941908713693
64,1st Phase JP Nagar,2615.0,5.0,222.0,4,8489.483747609942
65,1st Phase JP Nagar,900.0,2.0,75.0,2,8333.333333333334
66,1st Stage Indira Nagar,1400.0,2.0,67.0,2,4785.714285714285
67,1st Stage Indira Nagar,1200.0,2.0,55.0,2,4583.333333333333
68,1st Stage Indira Nagar,940.0,2.0,56.0,2,5957.446808510638
69,1st Stage Indira Nagar,3000.0,4.0,301.0,4,10033.333333333334
70,2nd Block Hrbr Layout,1480.0,3.0,90.0,3,6081.081081081081
71,2nd Block Hrbr Layout,1480.0,3.0,90.0,3,6081.081081081081
72,2nd Block Hrbr Layout,1550.0,3.0,110.0,3,7096.774193548387
73,2nd Block Hrbr Layout,1050.0,6.0,74.0,4,7047.619047619048
74,2nd Block Hrbr Layout,1350.0,4.0,235.0,4,17407.40740740741
75,2nd Block Jayanagar,1718.0,3.0,223.0,3,12980.209545983702
76,2nd Block Jayanagar,4920.0,5.0,1150.0,4,23373.983739837397
77,2nd Block Jayanagar,1000.0,2.0,97.0,2,9700.0
78,2nd Phase JP Nagar,2800.0,4.0,200.0,5,7142.857142857143
79,2nd Phase JP Nagar,1000.0,1.0,55.0,2,5500.0
80,2nd Phase JP Nagar,1350.0,8.0,185.0,8,13703.703703703704
81,2nd Phase JP Nagar,1200.0,3.0,190.0,3,15833.333333333334
82,2nd Phase JP Nagar,1040.0,2.0,78.0,2,7500.0
83,2nd Phase JP Nagar,850.0,2.0,42.5,2,5000.0
84,2nd Phase Judicial Layout,1450.0,2.0,50.75,3,3500.0
85,2nd Phase Judicial Layout,1150.0,2.0,40.25,2,3500.0
86,2nd Phase Judicial Layout,1350.0,2.0,47.25,3,3500.0
87,2nd Phase Judicial Layout,1350.0,2.0,47.25,3,3500.0
88,2nd Phase Judicial Layout,900.0,2.0,41.0,2,4555.555555555556
89,2nd Phase Judicial Layout,1681.0,3.0,69.0,3,4104.699583581201
90,2nd Phase Judicial Layout,1350.0,2.0,47.25,3,3500.0
91,2nd Phase Judicial Layout,1150.0,2.0,40.25,2,3500.0
92,2nd Stage Arekere Mico Layout,1200.0,4.0,130.0,4,10833.333333333334
93,2nd Stage Nagarbhavi,1500.0,4.0,220.0,4,14666.666666666666
94,2nd Stage Nagarbhavi,3000.0,8.0,451.0,6,15033.333333333334
95,2nd Stage Nagarbhavi,2400.0,8.0,450.0,6,18750.0
96,2nd Stage Nagarbhavi,1200.0,4.0,245.0,4,20416.666666666668
97,2nd Stage Nagarbhavi,1350.0,4.0,200.0,4,14814.814814814816
98,2nd Stage Nagarbhavi,1200.0,4.0,240.0,5,20000.0
99,2nd Stage Nagarbhavi,600.0,3.0,95.0,4,15833.333333333334
100,2nd Stage Nagarbhavi,600.0,4.0,100.0,3,16666.666666666668
101,2nd Stage Nagarbhavi,1200.0,4.0,225.0,4,18750.0
102,2nd Stage Nagarbhavi,600.0,4.0,125.0,4,20833.333333333332
103,2nd Stage Nagarbhavi,1200.0,4.0,240.0,5,20000.0
104,2nd Stage Nagarbhavi,1200.0,4.0,240.0,5,20000.0
105,2nd Stage Nagarbhavi,1200.0,4.0,240.0,5,20000.0
106,2nd Stage Nagarbhavi,1200.0,4.0,240.0,5,20000.0
107,2nd Stage Nagarbhavi,1500.0,3.0,230.0,4,15333.333333333334
108,2nd Stage Nagarbhavi,600.0,3.0,84.0,4,14000.0
109,2nd Stage Nagarbhavi,600.0,3.0,82.0,4,13666.666666666666
110,2nd Stage Nagarbhavi,1500.0,4.0,233.0,6,15533.333333333334
111,2nd Stage Nagarbhavi,1200.0,4.0,240.0,5,20000.0
112,3rd Block Banashankari,2400.0,8.0,650.0,6,27083.333333333332
113,3rd Block Banashankari,1200.0,4.0,175.0,4,14583.333333333334
114,3rd Block Banashankari,2400.0,4.0,325.0,5,13541.666666666666
115,3rd Block Hrbr Layout,1200.0,5.0,190.0,5,15833.333333333334
116,3rd Block Hrbr Layout,1056.0,2.0,80.0,2,7575.757575757576
117,3rd Block Hrbr Layout,1300.0,2.0,95.0,2,7307.692307692308
118,3rd Block Hrbr Layout,1650.0,3.0,140.0,3,8484.848484848484
119,3rd Block Jayanagar,2150.0,3.0,240.0,3,11162.790697674418
120,3rd Block Koramangala,2100.0,3.0,270.0,3,12857.142857142857
121,3rd Phase JP Nagar,4500.0,4.0,345.0,4,7666.666666666667
122,4th Block Jayanagar,900.0,2.0,70.0,2,7777.777777777777
123,4th Block Jayanagar,2005.0,3.0,240.0,3,11970.074812967581
124,4th Block Jayanagar,1567.2,2.0,190.0,3,12123.532414497193
125,4th Block Koramangala,1225.0,2.0,150.0,2,12244.897959183674
126,4th Block Koramangala,4500.0,9.0,500.0,9,11111.111111111111
127,4th Block Koramangala,1800.0,3.0,140.0,3,7777.777777777777
128,4th Block Koramangala,3400.0,6.0,420.0,4,12352.941176470587
129,4th Block Koramangala,1269.0,2.0,97.0,2,7643.81402679275
130,4th Phase JP Nagar,1070.0,2.0,38.9,2,3635.5140186915887
131,4th Phase JP Nagar,1080.0,2.0,38.0,2,3518.5185185185187
132,4th Phase JP Nagar,600.0,4.0,70.0,2,11666.666666666666
133,4th T block Jayanagar,2401.0,3.0,185.0,3,7705.12286547272
134,4th T block Jayanagar,3900.0,4.0,333.0,4,8538.461538461539
135,4th T block Jayanagar,1550.0,4.0,120.0,4,7741.935483870968
136,4th T block Jayanagar,2100.0,3.0,220.0,3,10476.190476190477
137,4th T block Jayanagar,2400.0,3.0,185.0,3,7708.333333333333
138,5th Block Hbr Layout,1206.0,2.0,56.0,2,4643.449419568822
139,5th Block Hbr Layout,1270.0,2.0,70.0,3,5511.811023622047
140,5th Block Hbr Layout,1200.0,6.0,220.0,5,18333.333333333332
141,5th Block Hbr Layout,1200.0,4.0,205.0,4,17083.333333333332
142,5th Block Hbr Layout,1312.0,2.0,69.0,2,5259.1463414634145
143,5th Block Hbr Layout,1200.0,5.0,205.0,5,17083.333333333332
144,5th Block Hbr Layout,5100.0,5.0,300.0,6,5882.35294117647
145,5th Block Hbr Layout,1200.0,5.0,205.0,5,17083.333333333332
146,5th Block Jayanagar,1500.0,1.0,300.0,1,20000.0
147,5th Phase JP Nagar,1075.0,2.0,60.0,2,5581.395348837209
148,5th Phase JP Nagar,1150.0,3.0,52.5,2,4565.217391304348
149,5th Phase JP Nagar,1070.0,2.0,39.0,2,3644.8598130841124
150,5th Phase JP Nagar,1256.0,2.0,62.8,2,5000.0
151,5th Phase JP Nagar,1207.0,2.0,63.0,2,5219.552609776305
152,5th Phase JP Nagar,1725.0,2.0,100.0,3,5797.101449275362
153,5th Phase JP Nagar,1440.0,2.0,60.0,2,4166.666666666667
154,5th Phase JP Nagar,1400.0,2.0,88.0,3,6285.714285714285
155,5th Phase JP Nagar,1450.0,2.0,58.0,2,4000.0
156,5th Phase JP Nagar,1700.0,2.0,100.0,3,5882.35294117647
157,5th Phase JP Nagar,1485.0,2.0,67.0,3,4511.784511784512
158,5th Phase JP Nagar,2500.0,5.0,110.0,5,4400.0
159,5th Phase JP Nagar,600.0,1.0,30.0,1,5000.0
160,5th Phase JP Nagar,1390.0,2.0,65.0,2,4676.258992805755
161,5th Phase JP Nagar,1256.0,2.0,62.8,2,5000.0
162,5th Phase JP Nagar,1220.0,2.0,88.0,2,7213.11475409836
163,5th Phase JP Nagar,1000.0,2.0,48.0,2,4800.0
164,5th Phase JP Nagar,1350.0,2.0,75.0,3,5555.555555555556
165,5th Phase JP Nagar,552.0,1.0,23.5,1,4257.246376811594
166,5th Phase JP Nagar,1200.0,2.0,51.0,2,4250.0
167,5th Phase JP Nagar,1240.0,3.0,60.0,3,4838.709677419355
168,5th Phase JP Nagar,1550.0,3.0,75.0,3,4838.709677419355
169,5th Phase JP Nagar,1485.0,2.0,66.0,3,4444.444444444444
170,5th Phase JP Nagar,1030.0,2.0,57.0,2,5533.980582524272
171,5th Phase JP Nagar,1200.0,2.0,68.0,2,5666.666666666667
172,5th Phase JP Nagar,1190.0,2.0,61.8,2,5193.27731092437
173,5th Phase JP Nagar,4000.0,5.0,170.0,5,4250.0
174,5th Phase JP Nagar,1080.0,2.0,53.0,2,4907.407407407408
175,5th Phase JP Nagar,1041.0,2.0,54.0,2,5187.319884726225
176,5th Phase JP Nagar,812.0,2.0,42.0,2,5172.413793103448
177,5th Phase JP Nagar,1010.0,2.0,57.0,2,5643.564356435643
178,5th Phase JP Nagar,1450.0,2.0,73.0,3,5034.482758620689
179,5th Phase JP Nagar,2500.0,8.0,95.0,7,3800.0
180,5th Phase JP Nagar,1075.0,2.0,60.0,2,5581.395348837209
181,5th Phase JP Nagar,2400.0,4.0,228.0,4,9500.0
182,5th Stage BEML Layout,2000.0,3.0,85.0,3,4250.0
183,5th Stage BEML Layout,2000.0,3.0,85.0,3,4250.0
184,6th Phase JP Nagar,1192.0,2.0,74.0,2,6208.053691275168
185,6th Phase JP Nagar,1180.0,2.0,80.0,2,6779.661016949152
186,6th Phase JP Nagar,3245.0,4.0,250.0,4,7704.160246533128
187,6th Phase JP Nagar,1645.0,3.0,100.0,3,6079.0273556231
188,6th Phase JP Nagar,1280.0,2.0,56.0,2,4375.0
189,6th Phase JP Nagar,1140.0,2.0,65.0,2,5701.754385964912
190,6th Phase JP Nagar,1650.0,6.0,135.0,8,8181.818181818182
191,6th Phase JP Nagar,2040.0,3.0,200.0,3,9803.921568627451
192,6th Phase JP Nagar,1213.0,2.0,63.0,2,5193.734542456719
193,6th Phase JP Nagar,1350.0,2.0,58.0,3,4296.2962962962965
194,6th Phase JP Nagar,1170.0,2.0,120.0,2,10256.410256410256
195,6th Phase JP Nagar,1216.0,2.0,60.0,2,4934.210526315789
196,6th Phase JP Nagar,1460.0,2.0,80.0,2,5479.45205479452
197,6th Phase JP Nagar,2003.0,3.0,200.0,3,9985.022466300548
198,6th Phase JP Nagar,1810.0,3.0,131.0,3,7237.5690607734805
199,6th Phase JP Nagar,1515.0,2.0,135.0,3,8910.89108910891
200,6th Phase JP Nagar,1192.0,2.0,75.0,2,6291.946308724832
201,6th Phase JP Nagar,1280.0,2.0,88.0,2,6875.0
202,6th block Koramangala,2350.0,3.0,400.0,3,17021.27659574468
203,6th block Koramangala,1117.0,2.0,110.0,2,9847.806624888093
204,6th block Koramangala,3000.0,3.0,400.0,3,13333.333333333334
205,7th Block Jayanagar,3000.0,3.0,528.0,5,17600.0
206,7th Block Jayanagar,2400.0,3.0,408.0,3,17000.0
207,7th Block Jayanagar,1903.0,2.0,293.0,3,15396.741986337362
208,7th Phase JP Nagar,1080.0,2.0,72.0,2,6666.666666666667
209,7th Phase JP Nagar,1270.0,2.0,93.0,2,7322.834645669292
210,7th Phase JP Nagar,1420.0,2.0,100.0,3,7042.2535211267605
211,7th Phase JP Nagar,1850.0,3.0,150.0,3,8108.108108108108
212,7th Phase JP Nagar,1245.0,2.0,94.0,2,7550.2008032128515
213,7th Phase JP Nagar,1175.0,2.0,82.0,2,6978.723404255319
214,7th Phase JP Nagar,1400.0,2.0,95.0,3,6785.714285714285
215,7th Phase JP Nagar,2225.0,3.0,160.0,3,7191.011235955056
216,7th Phase JP Nagar,1050.0,2.0,71.0,2,6761.9047619047615
217,7th Phase JP Nagar,1100.0,2.0,46.0,2,4181.818181818182
218,7th Phase JP Nagar,918.0,2.0,50.49,2,5500.0
219,7th Phase JP Nagar,1450.0,2.0,100.0,3,6896.551724137931
220,7th Phase JP Nagar,1070.0,2.0,42.79,2,3999.0654205607475
221,7th Phase JP Nagar,1190.0,2.0,49.98,2,4200.0
222,7th Phase JP Nagar,1420.0,2.0,96.0,3,6760.56338028169
223,7th Phase JP Nagar,1680.0,3.0,120.0,3,7142.857142857143
224,7th Phase JP Nagar,1050.0,2.0,42.0,2,4000.0
225,7th Phase JP Nagar,980.0,2.0,69.0,2,7040.816326530612
226,7th Phase JP Nagar,1035.0,2.0,41.39,2,3999.0338164251207
227,7th Phase JP Nagar,1370.0,2.0,56.17,2,4100.0
228,7th Phase JP Nagar,1180.0,2.0,72.0,2,6101.6949152542375
229,7th Phase JP Nagar,5080.0,7.0,450.0,6,8858.267716535433
230,7th Phase JP Nagar,1300.0,2.0,52.0,3,4000.0
231,7th Phase JP Nagar,1050.0,2.0,57.0,3,5428.571428571428
232,7th Phase JP Nagar,1343.0,2.0,56.41,3,4200.297840655249
233,7th Phase JP Nagar,1405.0,2.0,59.01,3,4200.0
234,7th Phase JP Nagar,1400.0,3.0,115.0,3,8214.285714285714
